#,Título
1,"A Thousand Years Ninetails"
2,"All You Need is Kill"
3,"Boku no Futatsu no Tsubasa"
4,"Boku to Kimi to de Niji ni Naru"
5,"Da Yuan Shen"
6,"Fragtime"
7,"Ginga Patrol Jako"
8,"GODSPEED"
9,"Gou-Dere Bishoujo Nagihara Sora"
10,"Guarding"
11,"Gun x Clover"
12,"Himekishi ga Classmate!"
13,"Hyouketsu Kyoukai no Eden"
14,"Iinazuke Kyoutei "
15,"Kimi no Iru Machi"
16,"Koi to Uso"
17,"Looking for a Father"
18,"Lost Seven"
19,"Mahou Gyoushounin Roma"
20,"Mahouka Koukou no Rettousei - Raihousha-hen"
21,"Mayonaka no X Giten"
22,"Nabari no ou"
23,"Nemuri no Fuchi "
24,"Okusama ga Seitokaichou!"
25,"Ookii Onnanoko wa Suki Desu ka?"
26,"Ore dake Level ga Agaru Sekai de Akutoku Ryoushu ni Natteita"
27,"Oretama"
28,"RPG"
29,"Ryuushika Ryuushika "
30,"Sakura Tsuushin"
31,"Sankarea: Undying Love"
32,"Shion of the Dead"
33,"Sousei no Onmyouji"
34,"Suzuka"
35,"Tadashii Kodomo no Tsukurikata!"
36,"The Great Conqueror"
37,"The Law Of The Devil"
38,"The Strongest"
39,"Tie Jiang Zong Heng: The Lawless"
40,"Uchi no Maou Kamimasen yo"
41,"Watari-kun no xx ga Houkai Sunzen"
42,"Witch Hunt - Manyeo Sanyang"
43,"Yakushoku Distpiari - Gesellshaft Blume"
44,"Yuusha ga Shinda! Murabito no Ore ga Hotta Otoshiana ni Yuusha ga Ochita Kekka"
45,"Zhaohuan Wansui"
