#,Título,Tipo,Progreso,URL
1,"Parallel Paradise",MANGA,"- / 322.00",https://zonatmo.nakamasweb.com/library/manga/24108/parallelparadise
2,"Tensei Kizoku no Isekai Boukenroku ~Jichou wo Shiranai Kamigami no Shito~",MANGA,"41.00 / 77.00",https://zonatmo.nakamasweb.com/library/manga/40200/tensei-kizoku-no-isekai-boukenroku-jichou-wo-shiranai-kamigami-no-shito
3,"Kage no Jitsuryokusha ni Naritakute!",MANGA,"79.10 / 79.20",https://zonatmo.nakamasweb.com/library/manga/42185/kagenojitsuryokushaninaritakute
4,"Tales of Demons and Gods",MANHUA,"476.50 / 511.00",https://zonatmo.nakamasweb.com/library/manhua/12956/tales-of-demons-and-gods
5,"Naze Boku no Sekai wo Daremo Oboeteinai no ka?",MANGA,"42.00 / 56.00",https://zonatmo.nakamasweb.com/library/manga/39195/naze-boku-no-sekai-wo-daremo-oboeteinai-no-ka
6,"Mushoku Tensei: Isekai Ittara Honki Dasu",MANGA,"115.00 / 117.00",https://zonatmo.nakamasweb.com/library/manga/8635/mushokutenseiisekaiittarahonkidasu
7,"Versatile Mage",MANHUA,"320.00 / 1111.00",https://zonatmo.nakamasweb.com/library/manhua/39913/versatilemage
8,"Combat Continent",MANHUA,"278.00 / 290.50",https://zonatmo.nakamasweb.com/library/manhua/8288/combat-continent
9,"The great ruler",MANHUA,"146.00 / 282.00",https://zonatmo.nakamasweb.com/library/manhua/12643/el-gran-gobernante
10,"Star Martial God Technique",MANHUA,"447.00 / 836.00",https://zonatmo.nakamasweb.com/library/manhua/20724/star-martial-god-technique
11,"Owari no Seraph",MANGA,"88.00 / 151.00",https://zonatmo.nakamasweb.com/library/manga/8190/Owari-no-Seraph
12,"Saihate no Paladin",MANGA,"- /72.00",https://zonatmo.nakamasweb.com/library/manga/38531/saihatenopaladin
13,"Death March kara Hajimaru Isekai Kyousoukyoku",MANGA,"83.00 / 112.00",https://zonatmo.nakamasweb.com/library/manga/12688/deathmarchkarahajimaruisekaikyousoukyoku
14,"Tate no Yuusha no Nariagari",MANGA,"82.00 / 121.00",https://zonatmo.nakamasweb.com/library/manga/8385/tatenoyuushanonariagari
15,"Fairy Tail: 100 Years Quest",MANGA,"18.50 / 206.00",https://zonatmo.nakamasweb.com/library/manga/40259/fairy-tail-100-years-quest
16,"Bug player",MANHWA,"85.00 / 137.00",https://zonatmo.nakamasweb.com/library/manhwa/49211/bug-player
17,"World Trigger",MANGA,"204.00 / 242.00",https://zonatmo.nakamasweb.com/library/manga/9461/world-trigger
