#,Título,Tipo,Progreso,URL
1,"Kirei na Oneesan wa Yajuu Deshita?!",MANGA,"- /43.00",https://zonatmo.nakamasweb.com/library/manga/50648/kireinaoneesanwayajuudeshita
2,"El jefe salvaje es mi vecino",MANGA,"- /91.00",https://zonatmo.nakamasweb.com/library/manga/53542/kinmujikangairinjinnojoushiwakemononinaru
3,"Kaikan Douki ",MANGA,"- /11.00",https://zonatmo.nakamasweb.com/library/manga/49415/kaikan-douki
4,"Kiss de Fusaide, Bare naide",MANGA,"- /9.00",https://zonatmo.nakamasweb.com/library/manga/57099/kiss-de-fusaide-bare-naide
5,"Dakishimete Tsuide ni Kiss mo",MANGA,"- /27.00",https://zonatmo.nakamasweb.com/library/manga/41860/dakishimete-tsuide-ni-kiss-mo
6,"Ore to no Flag wo Heshionna!",MANGA,"- /102.00",https://zonatmo.nakamasweb.com/library/manga/51799/ore-to-no-flag-wo-heshion-na
7,"How I Came to Like My Male Friend",MANHWA,"- /61.00",https://zonatmo.nakamasweb.com/library/manhwa/55890/la-razon-por-la-que-me-gusta-mi-novio
8,"Renai Gokko Sayokyoku",MANGA,"- /24.00",https://zonatmo.nakamasweb.com/library/manga/51181/renai-gokko-sayokyoku
9,"Tensei shitara Maou-sama ni Dekiai saremashita",MANGA,"- /12.00",https://zonatmo.nakamasweb.com/library/manga/55084/tensei-shitara-maou-sama-ni-dekiai-saremashita
10,"Baritachi No Ore Ga Jimi Onna Ni Tsu Toka Arienē",MANGA,"- /14.00",https://zonatmo.nakamasweb.com/library/manga/52308/the-girl-the-super-gay-boner
11,"Tada no Renai Nanka de Kikkonai -Kojirase Joushi to Fechina Buka-",MANGA,"- /15.00",https://zonatmo.nakamasweb.com/library/manga/56049/tada-no-renai-nanka-de-kikkonai-kojirase-joushi-to-fechina-buka
12,"45-sai, Ojisama wa Bukiyouna Kedamono",MANGA,"- /10.00",https://zonatmo.nakamasweb.com/library/manga/50522/45-sai-ojisama-wa-bukiyouna-kedamono
13,"Kawaii Yajuu-kun *Gaikokujin Kareshi to Hiyokko Renai Hajimemashita*",MANGA,"- /12.50",https://zonatmo.nakamasweb.com/library/manga/62764/kawaii-yajuu-kun-gaikokujin-kareshi-to-hiyokko-renai-hajimemashita
