#,Título,Tipo,Progreso,URL
1,"Isekai Nonbiri Nouka",MANGA,"68.00 / 290.00",https://zonatmo.nakamasweb.com/library/manga/32463/isekainonbirinouka
2,"29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta.",MANGA,"10.20 / 44.10",https://zonatmo.nakamasweb.com/library/manga/43153/29-sai-dokushin-wa-isekai-de-jiyuu-ni-ikitakatta
3,"Fukushuu wo Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou suru",MANGA,"36.00 / 106.00",https://zonatmo.nakamasweb.com/library/manga/42722/fukushuuwokoinegausaikyouyuushawayaminochikaradesenmetsumusousuru
4,"La Vida Después de la Muerte",MANHWA,"171.00 / 227.00",https://zonatmo.nakamasweb.com/library/manhwa/47049/lavidadespuesdelamuerte
5,"Kanojo, Okarishimasu",MANGA,"246.00 / 416.00",https://zonatmo.nakamasweb.com/library/manga/30388/kanojookarishimasu
6,"Rebuild World",MANGA,"75.00 / 79.00",https://zonatmo.nakamasweb.com/library/manga/45479/rebuild-world
7,"Chiyu Mahou no Machigatta Tsukaikata - Senjou o Kakeru Kaifuku Youin ",MANGA,"82.00 / 84.00",https://zonatmo.nakamasweb.com/library/manga/29478/chiyu-mahou-no-machigatta-tsukaikata-senjou-wo-kakeru-kaifuku-youin
8,"Hitoribocchi no Isekai Kouryaku",MANGA,"36.00 / 179.00",https://zonatmo.nakamasweb.com/library/manga/42693/hitoribocchinoisekaikouryaku
9,"Hachi-nan tte Sore wa Nai deshou!",MANGA,"43.00 / 108.00",https://zonatmo.nakamasweb.com/library/manga/14643/hachinan-tte-sore-wa-nai-deshou
10,"Emperador Mágico",MANHUA,"366.00 / 680.00",https://zonatmo.nakamasweb.com/library/manhua/47102/emperador-magico
11,"Yuan Zun",MANHUA,"508.00 / 985.00",https://zonatmo.nakamasweb.com/library/manhua/35766/yuan-zun
12," The Unsuccessful Yet Academically Unparalleled Sage ~A Cheating S-Rank Sorcerer's Post-Rebirth Adventurer Log~",MANGA,"15.20 / 24.10",https://zonatmo.nakamasweb.com/library/manga/46344/rakudai-kenja-no-gakuin-musou-nidome-no-tensei-s-rank-cheat-majutsushi-boukenroku
13,"Shijou Saikyou Orc-san no Tanoshii Tanetsuke Harem Zukuri",MANGA,"63.00 / 104.00",https://zonatmo.nakamasweb.com/library/manga/46258/shijou-saikyou-orc-san-no-tanoshii-tanetsuke-harem-zukuri
14,"¡El héroe de nivel máximo ha regresado!",MANHWA,"147.00 / 228.00",https://zonatmo.nakamasweb.com/library/manhwa/54527/themaxlevelherostrikesback
15,"Game of Familia: Kazoku Senki",MANGA,"21.00 / 72.00",https://zonatmo.nakamasweb.com/library/manga/40108/game-of-familia-kazoku-senki
16,"Isekai Mahou wa Okureteru!",MANGA,"43.00 / 65.00",https://zonatmo.nakamasweb.com/library/manga/22191/isekaimahouwaokureteru
17,"Tensei kizoku kantei sukiru de nariagaru",MANGA,"91.00 / 103.00",https://zonatmo.nakamasweb.com/library/manga/51726/tenseikizokukanteiskilldenariagarujakushouryouchiwouketsuidanodeyuushuunajinzaiwofuyashiteitarasaikyouryouchininatteta
18,"Tsuki ga Michibiku Isekai Douchuu",MANGA,"104.00 / 105.00",https://zonatmo.nakamasweb.com/library/manga/12942/tsukigamichibikuisekaidouchuu
19,"Isekai Tensei... Saretenee!",MANGA,"28.00 / 44.00",https://zonatmo.nakamasweb.com/library/manga/51283/isekaitenseisaretenee
20,"Kuro no Shoukanshi",MANGA,"90.00 / 146.00",https://zonatmo.nakamasweb.com/library/manga/34619/kuro-no-shoukanshi
21,"DUNGEON KURASHI NO MOTO YUUSHA",MANGA,"22.00 / 52.00",https://zonatmo.nakamasweb.com/library/manga/40904/dungeon-kurashi-no-moto-yuusha
22,"Lv2 kara Cheat datta Moto Yuusha Kouho no Mattari Isekai Life",MANGA,"25.00 / 57.00",https://zonatmo.nakamasweb.com/library/manga/42950/lv2karacheatdattamotoyuushakouhonomattariisekailife
23,"Re:Monster",MANGA,"55.00 / 118.00",https://zonatmo.nakamasweb.com/library/manga/8239/remonster
24,"Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat ",MANGA,"98.00 / 124.00",https://zonatmo.nakamasweb.com/library/manga/10001/konjikinowordmasteryuushayoninnimakikomaretauniquecheat
25,"La Magia de un Retornado Debe Ser Especial",MANHWA,"219.00 / 269.00",https://zonatmo.nakamasweb.com/library/manhwa/41571/areturnersmagicshouldbespecial
26,"El Nigromante que No Quiere una Cuarta Vez",MANGA,"33.00 / 61.00",https://zonatmo.nakamasweb.com/library/manga/39914/elnigromantequenoquiereunacuartavez
27,"Kaettekita Moto Yuusha",MANGA,"5.30 / 19.30",https://zonatmo.nakamasweb.com/library/manga/47634/kaettekita-moto-yuusha
28,"10 Años Después de Decirle a mis Camaradas ""Déjenmelo a Mí y Regresen Primero"", Me Convertí en Una Leyenda.",MANGA,"24.20 / 30.30",https://zonatmo.nakamasweb.com/library/manga/45530/koko-wa-ore-ni-makasete-saki-ni-ike-to-itte-kara-10-nen-ga-tattara-densetsu-ni-natteita
29,"Magi Craft Meister",MANGA,"32.00 / 62.00",https://zonatmo.nakamasweb.com/library/manga/30216/magi-craft-meister
30,"Gun-Ota ga Mahou Sekai ni Tensei shitara, Gendai Heiki de Guntai Harem wo Tsukucchaimashita!?",MANGA,"1.00 / 66.00",https://zonatmo.nakamasweb.com/library/manga/12892/gunotagamahousekainitenseishitaragendaiheikideguntaiharemwotsukucchaimashita
31,"Kekkaishi e no Tensei",MANGA,"39.00 / 45.00",https://zonatmo.nakamasweb.com/library/manga/44934/kekkaishi-e-no-tensei
32,"Assassin de aru ore no Sutetasu ga Yuusha yori mo Akiraka ni Tsuyoi Nodaga",MANGA,"36.20 / 36.30",https://zonatmo.nakamasweb.com/library/manga/40068/ansatsushadearuorenostatusgayuushayorimoakirakanitsuyoinodaga
33,"Sayounara Ryuusei, Konnichiwa Jinsei",MANGA,"57.00 / 86.00",https://zonatmo.nakamasweb.com/library/manga/16610/sayounara-ryuusei-konnichiwa-jinsei
34,"Nageki no Bourei wa Intai Shitai - Saijiyaku Hanta ni Yoru Saikiyou Patei Ikusei Jutsu",MANGA,"48.10 / 50.00",https://zonatmo.nakamasweb.com/library/manga/44226/nagekinoboureiwaintaishitaisaijakuhunterniyorusaikyoupartyikuseijutsu
35,"Kanchigai No Atelier Master",MANGA,"41.00 / 62.00",https://zonatmo.nakamasweb.com/library/manga/48901/kanchigai-no-atelier-master
36,"Arifureta Shokugyou de Sekai Saikyou",MANGA,"47.00 / 86.00",https://zonatmo.nakamasweb.com/library/manga/14752/arifuretashokugyoudesekaisaikyou
37,"Sekai Saikyou no Assassin, Isekai Kizoku ni Tensei Suru",MANGA,"25.00 / 35.20",https://zonatmo.nakamasweb.com/library/manga/42600/sekaisaikounoansatsushaisekaikizokunitenseisuru
38,"Isekai Kaeri no Yuusha ga Gendai Saikyou!",MANGA,"17.10 / 24.10",https://zonatmo.nakamasweb.com/library/manga/43637/isekaikaerinoyuushagagendaisaikyou
39,"Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic",MANGA,"43.00 / 64.00",https://zonatmo.nakamasweb.com/library/manga/34135/boushoku-no-berserk-ore-dake-level-to-iu-gainen-wo-toppa-suru-the-comic
40,"Horimiya",MANGA,"90.00 / 128.00",https://zonatmo.nakamasweb.com/library/manga/8800/horimiya
41,"Takarakuji de 40-oku Atattandakedo Isekai ni Ijuu Suru",MANGA,"35.00 / 81.00",https://zonatmo.nakamasweb.com/library/manga/22937/takarakuji-de-40-oku-atattandakedo-isekai-ni-ijuu-suru
42,"The Impregnable Demon King's Castle and the Expelled Black Mage of the Hero's Party ",MANGA,"19.00 / 32.00",https://zonatmo.nakamasweb.com/library/manga/49725/nankoufuraku-no-maoujou-e-youkoso-debuff-wa-fuyou-to-yuusha-party-wo-oidasareta-kuro-madoushi-maougun-no-saikou-kanbu-ni-mukaerareru
43,"Life as a Reincarnated Sage in Another World~ Gaining a Second Profession and Becoming the Strongest in the World~",MANGA,"27.00 / 45.00",https://zonatmo.nakamasweb.com/library/manga/41060/tensei-kenja-no-isekai-raifu-daini-no-shokugyo-wo-ete-sekai-saikyou-ni-narimashita
44,"Tensei Shitara Dragon No Tamago Datta - Saikyou Igai Mezasa Nee",MANGA,"18.00 / 47.20",https://zonatmo.nakamasweb.com/library/manga/37338/tensei-shitara-dragon-no-tamago-datta-saikyou-igai-mezasa-nee
45,"Maou Gun Saikyou no Majutsushi wa Ningen datta",MANGA,"23.00 / 52.00",https://zonatmo.nakamasweb.com/library/manga/45187/maougunsaikyounomajutsushiwaningendatta
46,"FFF-Class Trashero",MANHWA,"83.00 / 170.00",https://zonatmo.nakamasweb.com/library/manhwa/46855/fff-class-trashero
47,"Kawaii Joushi wo Komarasetai",MANGA,"35.00 / 108.00",https://zonatmo.nakamasweb.com/library/manga/14570/kawaiijoushiwokomarasetai
48,"Hazure Skill ""Kage ga Usui"" o Motsu Guild Shokuin ga, Jitsuha Densetsu no Ansatsusha",MANGA,"28.00 / 40.00",https://zonatmo.nakamasweb.com/library/manga/45257/hazure-skill-kage-ga-usui-o-motsu-guild-shokuin-ga-jitsuha-densetsu-no-ansatsusha
49,"Sensei wa Koi wo Oshierarenai",MANGA,"4.00 / 47.50",https://zonatmo.nakamasweb.com/library/manga/41679/senseiwakoiwooshierarenai
50,"Martial Arts Reigns",MANHUA,"201.00 / 316.00",https://zonatmo.nakamasweb.com/library/manhua/46497/martial-arts-reigns
51,"The Reincarnation Magician Of The Inferior Eyes",MANGA,"72.00 / 114.00",https://zonatmo.nakamasweb.com/library/manga/43843/rettougannotenseimajutsushirettoumenotenseimajutsushishiitageraretamotoyuushawamirainosekaioyoyuudeikinuku
52,"The Strongest Wizard Becomes Guardsman",MANGA,"18.10 / 28.20",https://zonatmo.nakamasweb.com/library/manga/43432/saikyou-no-madoshi-hisa-ni-ya-wo-ukete-shimatta-no-de-inaka-no-eihei-ni-naru
53,"El misterioso trabajo llamado Oda Nobunaga resulto ser mas tramposo que espadachín mágico, así que decidí crear un reino",MANGA,"23.00 / 29.10",https://zonatmo.nakamasweb.com/library/manga/40790/oda-nobunaga-to-iu-nazo-no-shokugyou-ga-mahou-kenshi-yori-cheat-datta-node-oukoku-wo-tsukuru-koto-ni-shimashita
54,"Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugir",MANGA,"20.00 / 30.00",https://zonatmo.nakamasweb.com/library/manga/41739/konoyuushagaoretueeekusenishinchousugiru
55,"Sistema de alardeo definitivo ",MANHUA,"161.00 / 360.00",https://zonatmo.nakamasweb.com/library/manhua/40936/ultimate-scheming-system
56,"Segunda vida para ser un ranker",MANHWA,"108.00 / 182.00",https://zonatmo.nakamasweb.com/library/manhwa/44278/secondliferanker
57,"Hitorijime - Choukyou Ganbou",MANGA,"11.00 / 33.00",https://zonatmo.nakamasweb.com/library/manga/32850/hitorijime-choukyou-ganbou
58,"Apotheosis - Elevation to the status of a god",MANHUA,"727.00 / 920.00",https://zonatmo.nakamasweb.com/library/manhua/30618/apotheosiselevacionalestadodeundios
59,"El Regreso del Emperador Inmortal",MANHUA,"70.00 / 336.00",https://zonatmo.nakamasweb.com/library/manhua/46913/el-regreso-del-emperador-inmortal
60,"Go-Toubun no Hanayome",MANGA,"123.00 / 124.50",https://zonatmo.nakamasweb.com/library/manga/23106/5toubunnohanayome
61,"Presidente del Comité, ¿no acabas de masturbarte en el baño? Puedo ver el número de veces que la gente tiene un orgasmo",MANHWA,"71.00 / 144.00",https://zonatmo.nakamasweb.com/library/manhwa/41933/presidentedelcomitenoacabasdemasturbarteenelbanopuedoverelnumerodevecesquelagentetieneunorgasmo
62,"Junk the Black Shadow",MANGA,"- /50.00",https://zonatmo.nakamasweb.com/library/manga/37907/Junk-the-Black-Shadow
63,"Boruto: Naruto Next Generations",MANGA,"64.00 / 80.00",https://zonatmo.nakamasweb.com/library/manga/2991/boruto-naruto-next-generations
64,"I Have a Mansion in the Post-apocalyptic World",MANHUA,"182.00 / 600.00",https://zonatmo.nakamasweb.com/library/manhua/41891/i-have-a-mansion-in-the-post-apocalyptic-world
65,"Immortal Swordsman in The Feminist World",MANHUA,"332.00 / 381.00",https://zonatmo.nakamasweb.com/library/manhua/47715/immortal-swordsman-in-the-feminist-world
66,"Very Pure Very Vague",MANHUA,"331.00 / 351.00",https://zonatmo.nakamasweb.com/library/manhua/40025/verypureveryvague
67,"YONG HENG ZHI ZUN",MANHUA,"233.00 / 326.00",https://zonatmo.nakamasweb.com/library/manhua/30320/yong-heng-zhi-zun
68,"Roomie",MANHWA,"9.00 / 108.00",https://zonatmo.nakamasweb.com/library/manhwa/43318/roomie
69,"Soy el Rey Demonio. Me volví a casar con la madre de una heroína, así que ella se convirtió en mi hijastra",MANGA,"11.00 / 53.00",https://zonatmo.nakamasweb.com/library/manga/42934/maou-desu-onna-yuusha-no-hahaoya-to-saikon-shita-no-de-onna-yuusha-ga-giri-no-musume-ni-narimashita
70,"Strongest Abandoned Son",MANHUA,"86.00 / 92.00",https://zonatmo.nakamasweb.com/library/manhua/43296/strongest-abandoned-son
71,"Legend of Immortals",MANHUA,"- / 40.00",https://zonatmo.nakamasweb.com/library/manhua/14060/Legend-of-Immortals
72,"HOLY ANCESTOR",MANHUA,"189.00 / 226.00",https://zonatmo.nakamasweb.com/library/manhua/37266/HOLY-ANCESTOR
73,"Saikyou no Shuzoku ga Ningen Datta Ken",MANGA,"42.00 / 63.00",https://zonatmo.nakamasweb.com/library/manga/40536/saikyou-no-shuzoku-ga-ningen-datta-ken
74,"Senryu Shoujo",MANGA,"1.00 / 173.50",https://zonatmo.nakamasweb.com/library/manga/32281/senryuu-shoujo
75,"Kuro no Maou",MANGA,"14.00 / 30.00",https://zonatmo.nakamasweb.com/library/manga/41024/kuronomaou
76,"Lust Awakening",MANHWA,"102.00 / 103.00",https://zonatmo.nakamasweb.com/library/manhwa/43200/lust-awakening
